iter	Passed	Remaining
330	361436	184540
331	362470	183418
332	363474	182283
333	364489	181153
334	365507	180025
335	366525	178899
336	367569	177785
337	368596	176664
338	369682	175571
339	370697	174445
340	371726	173327
341	372723	172193
342	373746	171073
343	374818	169975
344	375851	168860
345	376813	167714
346	377832	166594
347	378824	165463
348	379829	164338
349	380858	163224
350	381878	162107
351	382858	160974
352	383876	159858
353	384898	158743
354	385932	157634
355	386922	156508
356	387905	155379
357	388883	154249
358	389873	153125
359	390851	151997
360	391905	150899
361	392966	149804
362	394003	148701
363	394958	147566
364	395987	146461
365	396999	145349
366	397993	144231
367	398978	143111
368	399998	142004
369	401036	140904
370	402044	139794
371	403030	138677
372	404023	137563
373	405063	136465
374	406059	135353
375	407028	134232
376	407998	133113
377	409039	132018
378	410047	130912
379	411009	129792
380	411989	128679
381	413007	127578
382	414040	126482
383	415054	125380
384	416089	124286
385	417122	123191
386	418079	122074
387	419111	120980
388	420148	119888
389	421245	118812
390	422268	117716
391	423309	116626
392	424315	115526
393	425296	114419
394	426274	113313
395	427266	112211
396	428279	111115
397	429301	110021
398	430265	108914
399	431239	107809
400	432278	106722
401	433255	105619
402	434325	104539
403	435546	103496
404	436738	102444
405	437832	101369
406	439043	100322
407	440078	99233
408	441098	98141
409	442212	97071
410	443280	95990
411	444342	94908
412	445362	93817
413	446362	92722
414	447413	91639
415	448584	90579
416	449593	89487
417	450519	88379
418	451494	87281
419	452456	86182
420	453462	85091
421	454438	83995
422	455504	82916
423	456467	81819
424	457509	80736
425	458456	79638
426	459449	78547
427	460396	77449
428	461354	76354
429	462348	75265
430	463322	74174
431	464330	73088
432	465322	72001
433	466429	70931
434	467476	69852
435	468520	68773
436	469563	67694
437	470724	66632
438	471756	65551
439	472706	64459
440	473784	63386
441	474802	62304
442	475753	61214
443	476746	60130
444	477760	59049
445	478734	57963
446	479785	56887
447	480778	55804
448	481828	54728
449	482809	53645
450	483792	52562
451	484796	51482
452	485810	50404
453	486814	49324
454	487758	48239
455	488822	47167
456	489741	46080
457	490718	45000
458	491717	43922
459	492737	42846
460	493751	41770
461	494715	40690
462	495672	39611
463	496693	38536
464	497721	37462
465	498674	36383
466	499624	35305
467	500624	34230
468	501634	33157
469	502644	32083
470	503684	31012
471	504654	29937
472	505590	28860
473	506595	27787
474	507592	26715
475	508615	25644
476	509584	24571
477	510588	23499
478	511565	22427
479	512618	21359
480	513589	20287
481	514612	19217
482	515673	18149
483	516629	17078
484	517568	16007
485	518520	14936
486	519449	13866
487	520421	12797
488	521429	11729
489	522388	10660
490	523403	9593
491	524479	8528
492	525420	7460
493	526388	6393
494	527473	5328
495	528439	4261
496	529430	3195
497	530420	2130
498	531413	1064
499	532403	0
